;text;cl_n;predict_cl
3576;счет в сбербанке закрыла;др банк;счет закрыт
3577;планируют прекращать свою деятельность; не ведет деятельность; не ведет деятельность
3578;счет в уфк;казн. + бюджет;казн. + бюджет
3579;не нуждается в услугах;не нужен\не может\не хочет;не нужен\не может\не хочет
3580;счет в уфк;казн. + бюджет;казн. + бюджет
3581;счет в хлынове;др банк;др банк
3582;другой км;км;км
3583;работатет только иностранными банками;др банк;др банк
3584;дорогое обслуживание;дорогие тарифы;дорогие тарифы
3585;рко открыт;счет есть;счет есть
3586;открыли счет в втб;др банк;др банк
3587;сотруд с др банком;др банк;др банк
3588;ета в уфк;казн. + бюджет;казн. + бюджет
3589;нарушение договорных отношений;счет есть;счет есть
3590;номер не актуален;нет контактов;нет контактов
3591;прекращение деятельности закрытие ип; не ведет деятельность; не ведет деятельность
3592;счет открыт;счет есть;счет есть
3593;дорого;дорогие тарифы;дорогие тарифы
3594;высокая стоимость банковского продукта;дорогие тарифы;дорогие тарифы
3595;счет имеется;счет есть;счет есть
3596;счет клиента закрыт;счет закрыт;счет закрыт
3597;счет открыт в уфк;казн. + бюджет;казн. + бюджет
3598;продуктом пользуется;счет есть;счет есть
3599;уже есть рко;счет есть;счет есть
3600;отказ нет необходимости;отказ;отказ
3601;рко не устраивает;др банк;не нужен\не может\не хочет
3602;счет компании не требуется;не нужен\не может\не хочет;не нужен\не может\не хочет
3603;перезвонит сама ка понадобится;не нужен\не может\не хочет;не нужен\не может\не хочет
3604;р с открыл;счет есть сб;счет есть
3605;счет не заинтересовал;не нужен\не может\не хочет;не нужен\не может\не хочет
3606;счет открыт в банке;счет есть;счет есть
3607;проведены переговоры нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
3608;счет не работает;не нужен\не может\не хочет;не нужен\не может\не хочет
3609;высокая стоимость обслуживания;дорогие тарифы;дорогие тарифы
3610;детельность приостановлена; не ведет деятельность; не ведет деятельность
3611;клиент закрывает ип; не ведет деятельность; не ведет деятельность
3612;счет закрывает написал заявление;счет закрыт;счет закрыт
3613;устраивают условия по счету;др банк;др банк
3614;клиенту счет не нужен;не нужен\не может\не хочет;не нужен\не может\не хочет
3615;ничего не нужно отказ;отказ;отказ
3616;счет не требуется;не нужен\не может\не хочет;не нужен\не может\не хочет
3617;рко в др банке;др банк;др банк
3618;открытие счта не актуально;не нужен\не может\не хочет;не нужен\не может\не хочет
3619;счет октрыт в уфк;казн. + бюджет;казн. + бюджет
3620;уже обслуживаются в сбербанке;счет есть сб;счет есть сб
3621;были проблемы с комплайнс;ошибка выборки;ошибка выборки
3622;кредит не нужен;не нужен\не может\не хочет;не нужен\не может\не хочет
3623;счет организации не требуется;не нужен\не может\не хочет;не нужен\не может\не хочет
3624;расчетный счет есть;счет есть;счет есть
3625;отказались от сотрудничества;отказ;отказ
3626;отказ нет потребности;отказ;не нужен\не может\не хочет
3627;ок продукт уже есть;счет есть;счет есть
3628;проведены переговоры отрицательный отказ;отказ;отказ
3629;ок нет конт данных;нет контактов;нет контактов
3630;счет открыт;счет есть;счет есть
3631;клиент подумает контакт оставлен;думает;думает
3632;счета в валюте имеются;счет есть;счет есть
3633;звонок не устраивают тарифы;дорогие тарифы;дорогие тарифы
3634;счета закрыли;счет закрыт;счет закрыт
3635;не отвечают на звонки;не ответили;не ответили
3636;давно работают с первобанком;др банк;др банк
3637;залоги отказ все закрыли; не ведет деятельность; не ведет деятельность
3638;счета закрыты;счет закрыт;счет закрыт
3639;не необходимости;не нужен\не может\не хочет;не нужен\не может\не хочет
3640;дорогое открытие рко;дорогие тарифы;дорогие тарифы
3641;в сбер не пойдет;не лоялен ;не лоялен 
3642;ок продукт уже есть;счет есть;счет есть
3643;счета закрыты по фз;счет закрыт;счет закрыт
3644;не интересно;не нужен\не может\не хочет;не нужен\не может\не хочет
3645;обслуживаются в др банке;др банк;др банк
3646;только газпромбанк;др банк;др банк
3647;проведены переговоры;выполнено;выполнено
3648;счета переведены в доюл;др банк;др банк
3649;тарифы не устроили;дорогие тарифы;дорогие тарифы
3650;сотрудничает с другим банком;др банк;др банк
3651;открыт счет а открытии;др банк;др банк
3652;отказ сотрудничуют с втб;др банк;др банк
3653;счетн не заинтересовал;не нужен\не может\не хочет;не нужен\не может\не хочет
3654;некоректный номер телефона;нет контактов;нет контактов
3655;не устравивают тарифы банка;дорогие тарифы;дорогие тарифы
3656;планируют завершать деятельность; не ведет деятельность; не ведет деятельность
3657;нет потреьбности;не нужен\не может\не хочет;не нужен\не может\не хочет
3658;не интересует предложение;счет есть;не нужен\не может\не хочет
3659;были просрочки по кредитам;не соответсвует требованиям;не соответсвует требованиям
3660;клиент сам рперезвонит;не нужен\не может\не хочет;не нужен\не может\не хочет
3661;счсет пока не нужен;не нужен\не может\не хочет;не нужен\не может\не хочет
3662;деятельность прекращена счет закр; не ведет деятельность; не ведет деятельность
3663;отказ рко дорогие тарифы;дорогие тарифы;дорогие тарифы
3664;прекратило деятельность; не ведет деятельность; не ведет деятельность
3665;нет разрешения;голов. комп;голов. комп
3666;позвонить после нов года;звонок;звонок
3667;нет потребности в услуге;не нужен\не может\не хочет;не нужен\не может\не хочет
3668;р сч уже имеется;счет есть;счет есть
3669;для клиента дорого;дорогие тарифы;дорогие тарифы
3670;в казначействе;казн. + бюджет;казн. + бюджет
3671;счет в казначействе;казн. + бюджет;казн. + бюджет
3672;тел не доступен;нет контактов;нет контактов
3673;негатив к сберу;не лоялен ;не лоялен 
3674;не устраивает ценовая политика;дорогие тарифы;дорогие тарифы
3675;клиент категорически против;не лоялен ;не лоялен 
3676;бизнес закрыт; не ведет деятельность; не ведет деятельность
3677;бюджет обслуживание в уфк;казн. + бюджет;казн. + бюджет
3678;обслуживается в втб;др банк;др банк
3679;нет номера телефона клиента;нет контактов;нет контактов
3680;обслуживаются в ркц;др банк;др банк
3681;ликвидировано егрюл данные спрак;ликвидация;ликвидация
3682;не планирует открывать рко;не нужен\не может\не хочет;не нужен\не может\не хочет
3683;тел принадлежит другому юл;нет контактов;нет контактов
3684;отказ дорогой тариф;дорогие тарифы;дорогие тарифы
3685;терминал изъят;не соответсвует требованиям;не соответсвует требованиям
3686;терминалом не пользуются;не нужен\не может\не хочет;не нужен\не может\не хочет
3687;терминалом не пользуются вообще;не нужен\не может\не хочет;не нужен\не может\не хочет
3688;дорогое ведение счета;дорогие тарифы;дорогие тарифы
3689;клиент отказывается от сотрудничества;др банк;не разговаривают
3690;потребность отсутствует;не нужен\не может\не хочет;не нужен\не может\не хочет
3691;проконсультировала нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
3692;клиент отказался от продукта;отказ;отказ
3693;бюджет обслуживание в уфк;казн. + бюджет;казн. + бюджет
3694;закрыли счёт;счет закрыт;счет закрыт
3695;счет открыт;счет есть;счет есть
3696;клиент прекратил вести деятельность; не ведет деятельность; не ведет деятельность
3697;бизнес счет;счет есть;счет есть
3698;счет закрыт нет деятельности; не ведет деятельность; не ведет деятельность
3699;перенаправлена задача менеджеру ргс;км;км
3700;отказался разговаривать;не разговаривают;не разговаривают
3701;конагент новигации нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
3702;нет необходимости отказ клиента;не нужен\не может\не хочет;отказ
3703;терминалом не пользуются уже;не нужен\не может\не хочет;не нужен\не может\не хочет
3704;переговры проведены отказ;отказ;отказ
3705;территориально находится в краснодаре;территориально;территориально
3706;у предприятия открыт рс;счет есть;счет есть
3707;клиент отказался дорогие тарифы;дорогие тарифы;дорогие тарифы
3708;не хотят сбер принципиально;не лоялен ;не лоялен 
3709;отказ не интресует;отказ;отказ
3710;клиент отказывается открывать счет;отказ;отказ
3711;отказ ликвидирован;ликвидация;ликвидация
3712;не устраивают цены рко;дорогие тарифы;дорогие тарифы
3713;территориально находятся в екатеринбурге;территориально;территориально
3714;ок не устраивают параметры;условия;условия
3715;территориально не подходят;территориально;территориально
3716;не надо;не нужен\не может\не хочет;не нужен\не может\не хочет
3717;не устраивают тарифы банка;дорогие тарифы;дорогие тарифы
3718;клиент закрылся; не ведет деятельность; не ведет деятельность
3719;предприятие в режиме ликвидации;ликвидация;ликвидация
3720;территориально не удобно;территориально;территориально
3721;пока неинтересно но подумают;думает;думает
3722;отказ не инетересует пока;отказ;отказ
3723;не верные контакты;нет контактов;нет контактов
3724;клиент отказался разговаривать;не разговаривают;не разговаривают
3725;не планирует менять банк;др банк;др банк
3726;высокие ставки;дорогие тарифы;дорогие тарифы
3727;территориально удален;территориально;территориально
3728;территориально удобно в чебоксарах;территориально;территориально
3729;счет есть в сб;счет есть сб;счет есть сб
3730;проигрываем в тарифах росевробанку;др банк;др банк
3731;р нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
3732;стоимость;дорогие тарифы;дорогие тарифы
3733;все устраивет в кб;др банк;др банк
3734;не подходит по категории;не нужен\не может\не хочет;не нужен\не может\не хочет
3735;предпринимательская деятельность прекращена; не ведет деятельность; не ведет деятельность
3736;нет потр;не нужен\не может\не хочет;не нужен\не может\не хочет
3737;имеется действующий р с;счет есть;счет есть
3738;нет необходимости ранее обслуживались;др банк;не нужен\не может\не хочет
3739;кредитование пока не интересно;не нужен\не может\не хочет;отказ
3740;клиенту не интересен продукт;не нужен\не может\не хочет;не нужен\не может\не хочет
3741;отказ клиента нет нужды;отказ;отказ
3742;звонок выполнен;звонок;звонок
3743;подумают над предложением;думает;думает
3744;менять ничего не собираются;отказ;отказ
3745;проконсультировала;выполнено;выполнено
3746;только если будет кредитоваться;др продукт сб;др продукт сб
3747;не ведут вэд;не нужен\не может\не хочет;не нужен\не может\не хочет
3748;не требуются валютные счета;не нужен\не может\не хочет;не нужен\не может\не хочет
3749;всп счета открыты;счет есть;счет есть
3750;только эквайринг;др продукт сб;др продукт сб
3751;в услуге нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
3752;ок организация банкрот;банкротство;банкротство
3753;отказ нет необх;отказ;отказ
3754;не устроили ценовые параметры;дорогие тарифы;дорогие тарифы
3755;торговый терминал установлен;счет есть сб;счет есть сб
3756;не интересно деятельность приостановлена; не ведет деятельность; не ведет деятельность
3757;счёт закрыт;счет закрыт;счет закрыт
3758;у клиента нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
3759;необходимости нет;не нужен\не может\не хочет;не нужен\не может\не хочет
3760;клиент закрыл организацию; не ведет деятельность; не ведет деятельность
3761;нет отказались;отказ;отказ
3762;не идут на контакт;нет контактов;нет контактов
3763;отказ клиент негативно реагирует;не лоялен ;не лоялен 
3764;не устраивают тарифы;дорогие тарифы;дорогие тарифы
3765;клиент закрыл счет;счет закрыт;счет закрыт
3766;не актуально для клиента;не нужен\не может\не хочет;не нужен\не может\не хочет
3767;аются октрывать счет;др банк;др банк
3768;бухгалтер против;не лоялен ;не лоялен 
3769;у нас дорого;дорогие тарифы;дорогие тарифы
3770;у клиента закредитованность;не соответсвует требованиям;не соответсвует требованиям
3771;вэд в рублях;не нужен\не может\не хочет;не нужен\не может\не хочет
3772;работа проведена;выполнено;выполнено
3773;нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
3774;отказ клиента;отказ;отказ
3775;закрыли счёт;счет закрыт;счет закрыт
3776;хозяйственная деятльность не осуществляется;не нужен\не может\не хочет;не нужен\не может\не хочет
3777;дорогое обслуж е;дорогие тарифы;дорогие тарифы
3778;нет потребности думают;не нужен\не может\не хочет;не нужен\не может\не хочет
3779;открыт счет в аб;др банк;др банк
3780;кредит уже есть;др продукт сб;счет есть
3781;тарифы сб не устраивают;дорогие тарифы;дорогие тарифы
3782;не устраивает пакетное обслуживание;условия;условия
3783;проконсультировала;выполнено;выполнено
3784;клиент прекращает свою деятельность; не ведет деятельность; не ведет деятельность
3785;высокая стоимость рко отталкивает;дорогие тарифы;дорогие тарифы
3786;у клиента закрыт счет;счет закрыт;счет закрыт
3787;не подходят условия обслуживания;условия;условия
3788;у клиента нет средств;не соответсвует требованиям;не соответсвует требованиям
3789;клиент работает в челнах;др банк;др банк
3790;сотрудничество не актаульно;др банк;др банк
3791;в сб высокие тарифы;дорогие тарифы;дорогие тарифы
3792;отказ не интересно;отказ;отказ
3793;клиент другого отделения;территориально;территориально
3794;отказались не можем прокредитовать;отказ;отказ
3795;отказ работы с банком;отказ;отказ
3796;отказываютс япереходить в сбербанк;не лоялен ;не лоялен 
3797;у клиента нет тэ;не соответсвует требованиям;не соответсвует требованиям
3798;снятие наличных дорого;дорогие тарифы;дорогие тарифы
3799;фирма неработающая; не ведет деятельность; не ведет деятельность
3800;отказ нет потребности повтор;отказ;отказ
3801;компания приостанавила деятельность; не ведет деятельность; не ведет деятельность
3802;спасибо удобнее как есть;не нужен\не может\не хочет;не нужен\не может\не хочет
3803;юр лицо ликвидировано;ликвидация;ликвидация
3804;не устр тарифы;дорогие тарифы;дорогие тарифы
3805;сотрудничают с др банком;др банк;др банк
3806;нет телефонов;нет контактов;нет контактов
3807;нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
3808;ничего не нужно;не нужен\не может\не хочет;не нужен\не может\не хочет
3809;р счет уже открыт;счет есть;счет есть
3810;бюджетное предприятие;казн. + бюджет;казн. + бюджет
3811;обслуживаются в акбарсе;др банк;др банк
3812;высокие тарифы;дорогие тарифы;дорогие тарифы
3813;полностью устраивает банк партнер;др банк;др банк
3814;ничего менять не планируют;не нужен\не может\не хочет;др банк
3815;вэд нет;не нужен\не может\не хочет;не нужен\не может\не хочет
3816;вко не км самолкаева;км;км
3817;не требуется;не нужен\не может\не хочет;не нужен\не может\не хочет
3818;у предприятие нет средств;не соответсвует требованиям;не соответсвует требованиям
3819;деятельность временно приостановлена; не ведет деятельность; не ведет деятельность
3820;валютные счета в втб;счет есть;др банк
3821;клиент сотрудничает с энергобанком;др банк;др банк
3822;нет потребности деятельность приостановлена;не нужен\не может\не хочет; не ведет деятельность
3823;счет в сб;счет есть сб;счет есть сб
3824;переговоры проведены нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
3825;клиент обслуживается в втб;др банк;др банк
3826;есть договор ед от;счет есть;счет есть
3827;отказ дорогое обслуживание;дорогие тарифы;дорогие тарифы
3828;не хотят уходить;др банк;др банк
3829;удобнее обслуживаться в всп;др банк;др банк
3830;не инетересует не нужно;не нужен\не может\не хочет;не нужен\не может\не хочет
3831;не инетерсует отказ;отказ;отказ
3832;удобнее работать с социнвестбанке;др банк;др банк
3833;не заинтересованности;не нужен\не может\не хочет;не нужен\не может\не хочет
3834;клиента не заинтересовало предложение;не нужен\не может\не хочет;не нужен\не может\не хочет
3835;отказ нет потребнрости;отказ;отказ
3836;канакова ариадна владимировна;мусор;мусор
3837;нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
3838;компания в стадии закрытия; не ведет деятельность; не ведет деятельность
3839;отказ высокие комиссии;дорогие тарифы;дорогие тарифы
3840;втб;др банк;др банк
3841;телефона нет;нет контактов;нет контактов
3842;отказ от открытия рс;отказ;отказ
3843;счет закрыт;счет закрыт;счет закрыт
3844;отказ деятельность не ведется; не ведет деятельность; не ведет деятельность
3845;не контактных данных;не нужен\не может\не хочет;нет контактов
3846;отказ уже есть счет;отказ;счет есть
3847;удобно в промсвязьбанке;др банк;др банк
3848;нет номеров телефонов;нет контактов;нет контактов
3849;деятельности пока нет; не ведет деятельность; не ведет деятельность
3850;бюджет работают с абб;казн. + бюджет;казн. + бюджет
3851;р с открыт;счет есть;счет есть
3852;счет уже открыли;счет есть;счет есть
3853;потребности у клиента нет;не нужен\не может\не хочет;не нужен\не может\не хочет
3854;уже взяли;счет есть сб;счет есть сб
3855;уже встреча была;выполнено;выполнено
3856;потребность в кредитовании отсутсвует;не нужен\не может\не хочет;не нужен\не может\не хочет
3857;уже звонили не интересно;не нужен\не может\не хочет;не нужен\не может\не хочет
3858;вэд не осуществляют;не нужен\не может\не хочет;не нужен\не может\не хочет
3859;деятельность сворачивают потребности нет;отказ;отказ
3860;рсхб;др банк;др банк
3861;уже обслуживается в сб;счет есть сб;счет есть сб
3862;имеется действующий р с;счет есть;счет есть
3863;отказх нет потребности;отказ;отказ
3864;счет закрыт;счет закрыт;счет закрыт
3865;информация не интересна;не нужен\не может\не хочет;не нужен\не может\не хочет
3866;счет закрыт;счет закрыт;счет закрыт
3867;рко нсть;счет есть;счет есть
3868;отказались от услуги;отказ;отказ
3869;тарифы по рко дорогие;дорогие тарифы;дорогие тарифы
3870;не устаривают озвученны тп;др банк;др банк
3871;потребность в продукте отсутствует;не нужен\не может\не хочет;не нужен\не может\не хочет
3872;уже обслуживается в сбербанке;счет есть сб;счет есть сб
3873;имеется действующий р с;счет есть;счет есть
3874;счет закрыт деятельность прекращена; не ведет деятельность; не ведет деятельность
3875;уже обслуживаются в сбербанке;счет есть сб;счет есть сб
3876;категорический отказ;отказ категорический;отказ категорический
3877;перезвонить позже;звонок;звонок
3878;направлено менеджеру ргс;км;км
3879;открывать р с банкроты;банкротство;банкротство
3880;не у старивает цена;дорогие тарифы;дорогие тарифы
3881;не устроили тарифы банка;дорогие тарифы;дорогие тарифы
3882;отказ клиента болльшие комиссии;дорогие тарифы;дорогие тарифы
3883;имеется расчетный счет;счет есть;счет есть
3884;имеется действующий р с;счет есть;счет есть
3885;нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
3886;клиент отказался;отказ;отказ
3887;не интересует;не нужен\не может\не хочет;не нужен\не может\не хочет
3888;цена ставка процент;дорогие тарифы;дорогие тарифы
3889;нет потребности у клиента;не нужен\не может\не хочет;не нужен\не может\не хочет
3890;не рассматривают;не нужен\не может\не хочет;не нужен\не может\не хочет
3891;отказ нет потребости;отказ;отказ
3892;организация закрылась; не ведет деятельность; не ведет деятельность
3893;нет потребности в кредитовании;не нужен\не может\не хочет;не нужен\не может\не хочет
3894;нет необходимости;не нужен\не может\не хочет;не нужен\не может\не хочет
3895;ок планирует закрывать ип;планируют закрывать счет; не ведет деятельность
3896;отказ клиента от встречи;отказ;отказ
3897;нет потребности в финансировании;не нужен\не может\не хочет;не нужен\не может\не хочет
3898;нет необходимости в услуге;не нужен\не может\не хочет;не нужен\не может\не хочет
3899;сотрудничают с вятка банком;др банк;др банк
3900;нет потребности категорический отказ;не нужен\не может\не хочет;не нужен\не может\не хочет
3901;ликвидирова;ликвидация;ликвидация
3902;валютные счета открыты;счет есть;счет есть
3903;предприятие прекратило деятельность; не ведет деятельность; не ведет деятельность
3904;получен отказ;отказ;отказ
3905;работает с др банком;др банк;др банк
3906;юл планируется ликвидировать;ликвидация;ликвидация
3907;бизнес продан; не ведет деятельность; не ведет деятельность
3908;отказ открытие не рассматривают;отказ;отказ
3909;бюджет нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
3910;клиент отказался дорогие тарифы;дорогие тарифы;дорогие тарифы
3911;брорсают трубку;не разговаривают;не разговаривают
3912;отказ тарифы сб высокие;дорогие тарифы;дорогие тарифы
3913;инд тариф;др банк;др банк
3914;приостановлена деятельность; не ведет деятельность; не ведет деятельность
3915;ип ликвидировано счет закрыт;ликвидация;ликвидация
3916;организация ликвидирована;ликвидация;ликвидация
3917;уже отрытый р с;счет есть сб;счет есть сб
3918;т закрыт;счет закрыт;счет закрыт
3919;уже работают с банком;счет есть сб;др банк
3920;уже работают со сбербанком;счет есть сб;счет есть сб
3921;не отв;не ответили;не ответили
3922;не интересно рко;не нужен\не может\не хочет;не нужен\не может\не хочет
3923;клиент не одыкватный;отказ;отказ
3924;отказ рко;счет есть;отказ
3925;уже есть счет;счет есть;счет есть
3926;нет потребности в кредитование;не нужен\не может\не хочет;не нужен\не может\не хочет
3927;планируется ликвидация компании;ликвидация;ликвидация
3928;работают с другим банком;др банк;др банк
3929;уже является клиентом сбербанка;счет есть сб;счет есть сб
3930;клиент категорически отказывается встречаться;отказ категорический;отказ категорический
3931;в втб;др банк;др банк
3932;ип прекратил свою деятельность; не ведет деятельность; не ведет деятельность
3933;переговоры проведены потребности нет;не нужен\не может\не хочет;не нужен\не может\не хочет
3934;категорический отказ бросил трубку;не разговаривают;не разговаривают
3935;счет открыт;счет есть;счет есть
3936;лазарева ирина геннад;мусор;мусор
3937;есть договор ед от;счет есть;счет есть
3938;доп счет не требуется;счет есть;счет есть
3939;руководителя нет на месте;нет на месте;нет на месте
3940;деятельность по компании приостановлена; не ведет деятельность; не ведет деятельность
3941;деятельность организации ликвидирована;ликвидация;ликвидация
3942;есть вал счет;счет есть;счет есть
3943;ужеведется работа с клиентом;счет есть сб;счет есть сб
3944;условия др банка;др банк;др банк
3945;счёт уже открыт;счет есть;счет есть
3946;р с уже есть;счет есть;счет есть
3947;не ведет деятельность;не нужен\не может\не хочет; не ведет деятельность
3948;организация ликвидирована;ликвидация;ликвидация
3949;контактные данные не актуальны;нет контактов;нет контактов
3950;не работают уже; не ведет деятельность; не ведет деятельность
3951;нет потребности в продукте;не нужен\не может\не хочет;не нужен\не может\не хочет
3952;условия знают;выполнено;выполнено
3953;компания не ведет деятельности; не ведет деятельность; не ведет деятельность
3954;условия не интересны;не нужен\не может\не хочет;не нужен\не может\не хочет
3955;отаз нет потребности;отказ;отказ
3956;счет открыт;счет есть;счет есть
3957;ухудшение финансового положения; не ведет деятельность; не ведет деятельность
3958;клиент не захотел разговаривать;не разговаривают;не разговаривают
3959;клиент закрывает предпринимательскую деятельность; не ведет деятельность; не ведет деятельность
3960;не кредитуются;отказ;отказ
3961;тел выключен контактов нет;нет контактов;нет контактов
3962;данное предложение не интересует;не нужен\не может\не хочет;не нужен\не может\не хочет
3963;обслуживание в камком банке;др банк;др банк
3964;счет открыт;счет есть;счет есть
3965;валютный счет не нужен;не нужен\не может\не хочет;не нужен\не может\не хочет
3966;валютный счет открыт ранее;счет есть;счет есть
3967;открыт только там счет;счет есть;счет есть
3968;слишком дорого;дорогие тарифы;дорогие тарифы
3969;закрыл счет за ненадобностью;счет закрыт;счет закрыт
3970;ок есть счет;счет есть;счет есть
3971;обслуживаются через ркц;др банк;др банк
3972;р с уже есть;счет есть;счет есть
3973;неразмещают средства в сбербанке;не нужен\не может\не хочет;не нужен\не может\не хочет
3974;ок действующий счёт есть;счет есть;счет есть
3975;бюджет обслуживаентя в уфк;казн. + бюджет;казн. + бюджет
3976;потребности в услуге нет;не нужен\не может\не хочет;не нужен\не может\не хочет
3977;сотрудничают с уралсиб;др банк;др банк
3978;нет необходимости;не нужен\не может\не хочет;не нужен\не может\не хочет
3979;работает с другим банком;др банк;др банк
3980;слишком высокие ставки;дорогие тарифы;дорогие тарифы
3981;не используется;не нужен\не может\не хочет;не нужен\не может\не хочет
3982;фирмы нет; не ведет деятельность; не ведет деятельность
3983;все устраивает;др банк;др банк
3984;расчетный счет открыт г;счет есть;счет есть
3985;р счет открыт;счет есть;счет есть
3986;нет потребности в счете;не нужен\не может\не хочет;не нужен\не может\не хочет
3987;все устраивает;др банк;др банк
3988;р отказ клиента;отказ;отказ
3989;счет открыт;счет есть;счет есть
3990;рко открыто;счет есть сб;счет есть сб
3991;потребность в услугах отсутствует;не нужен\не может\не хочет;не нужен\не может\не хочет
3992;ип не работает; не ведет деятельность; не ведет деятельность
3993;ничего не надо;не нужен\не может\не хочет;не нужен\не может\не хочет
3994;планирует закрывать р счет;планируют закрывать счет;планируют закрывать счет
3995;получен отказ от встречи;отказ;отказ
3996;обслуживаются в втб;др банк;др банк
3997;обхожусь пока так;отказ;отказ
3998;проработан список;выполнено;выполнено
3999;зи клиент не используетбг;не нужен\не может\не хочет;не нужен\не может\не хочет
4000;отказ клиент негативно реагирует;не лоялен ;не лоялен 
4001;пока не нужно дорого;дорогие тарифы;дорогие тарифы
4002;не инетересно сотрудничество;не нужен\не может\не хочет;не нужен\не может\не хочет
4003;счет открыт работает;счет есть;счет есть
4004;клиент отказался от предложения;отказ;отказ
4005;клиент не осуществляет вэд;не нужен\не может\не хочет;не нужен\не может\не хочет
4006;не треб ся встреча;не нужен\не может\не хочет;не нужен\не может\не хочет
4007;закрыт счет;счет закрыт;счет закрыт
4008;обсдуживается в уфк;казн. + бюджет;казн. + бюджет
4009;компания ликвидирована данные спарк;ликвидация;ликвидация
