;TEXT;class
36341;переговоры бухгалтером нет_потребности;переговоры
36342;не_интересно;не нужен\не может\не хочет
36343;перег провед отправл предлож;не отработана. перенесена
36344;не_нуждаются кредитовании;не нужен\не может\не хочет
36345;руководитель находится отпуске середины слов бухгалтера потребность транспорте организацию контанкты клиента переданы отдел лизинга звонок;не ответили
36346;клиента срок ведения деятельности меньше месяцев залог отсутс банк не_прокредитовать;не ведет деятельность
36347;пока не_требуется;пока
36348;кредитоваться боится кризиса;отказ
36349;клиент не_лоялен банку;не лоялен 
36350;клиент ведет бизнес нет_возможности кредитования луге;не ведет деятельность
36351;не_отработана сроки;не нужен\не может\не хочет
36352;входит бухгалтер лимит не_просчитается;не нужен\не может\не хочет
36353;слова клиента пока нет_необходимости;пока
36354;отказ клиента сейчас потребности нет_смена собственника бизнеса;не нужен\не может\не хочет
36355;после продолжительных попыток дозвониться не_удалось;отказ
36356;несколько действующих договоров настоящее время приобретение авто не_планируется собирают пакет документов кредит сбер оборот вязной организации;документы
36357;кредиты не_интересуют;есть кредит
36358;клиенту не_требуется кредитная линейка банка;не соответсвует требованиям
36359;клиента кредита доверие общим патежем месяц тысяч справляется выходит иногда просрочку кредит не_нужен;просрочка
36360;потребности кредитовании нет;не нужен\не может\не хочет
36361;отсутствует потребность кредитовании;не нужен\не может\не хочет
36362;отказ нет_потребности;отказ
36363;не_отработана сроки;не нужен\не может\не хочет
36364;перег провед отправ пред;не отработана. перенесена
36365;отказ клиент не_соответствует требованиям банка плохая;не соответсвует требованиям
36366;достаточно своих средства потребности текущий момент не_испытывают;не нужен\не может\не хочет
36367;потребности кредите лизинге нет;не нужен\не может\не хочет
36368;достигнуты договоренности встрече потребность;не нужен\не может\не хочет
36369;клиент приглашен встречу;встреча
36370;не_отработана сроки;не нужен\не может\не хочет
36371;клиент справляется собственными средствами клиента доведена информация возможности кредитования;не нужен\не может\не хочет
36372;виктор викторович данный момент потребности нет_свои контакты сказала вопросов нет;мусор
36373;клиент приглашен банк консультацию предварительный звонок;приглашение в банк
36374;данный момент не_интересует;пока
36375;проведена консультация;не отработана. перенесена
36376;отказ кредтование не_интересует обходятся собственными средствами;не нужен\не может\не хочет
36377;отказ встречи звонок виктория бухгалтер елена анатольевна болеет орагнизовать встречу нет_возможности бухгалетр пояснила работают исключительно собственными средствами кредитование лизинг неактуальны;встреча
36378;отказ потребности кредитвоании нет_высокие ставки приемлимая ставка клиента александр_александрович;дорогие тарифы
36379;против привлечения заем средств размещает свободные средства частные депозиты;не нужен\не может\не хочет
36380;сумма не_устраивает;небольшие обороты
36381;планах кредитоваться нет_лицо наталья алексеевна финансовый директор;мусор
36382;отказ сотрудничества звонок бухгалтеру наталья владимировна клиент проинформирован возможности приобретения лизинг акции условия скидок данном предложении нет_необходимости необходима информация заинтересованность директор сама позвонит консультации;не отработана. перенесена
36383;потребности кредитовании нет_достаточно своих средств;не нужен\не может\не хочет
36384;отказ уехал краснодар деятельность более;не ведет деятельность
36385;сейчас сдают вренду помещения возможно понадобиться страхование;аренда
36386;достаточно собственных;не нужен\не может\не хочет
36387;отказ нет_потребности;отказ
36388;не_пользуются кредитными продуктами не_готовы расматривать предложения кредитованию;отказ
36389;собственные средства оборота;не нужен\не может\не хочет
36390;потребности нет;не нужен\не может\не хочет
36391;сегмент;сегмент
36392;назначена встреча;встреча
36393;отказ нет_потребности;отказ
36394;не_кредитуются;не нужен\не может\не хочет
36395;телефон года принадлежит другой организации просили не_звонить;нет контактов
36396;не_отработана сроки;не нужен\не может\не хочет
36397;клиент проживает другом городе доверенного лица нет_полномочий;территориально
36398;клиент заключил сделку другому продукту;не отработана. перенесена
36399;назначена встреча совместно тарасова;встреча
36400;переговоры проведены данный момент клиент не_нуждается кредитных ресурсах проведена консультация;не отработана. перенесена
36401;возникнут вопросы обязательно найдет пока не_требуется;не нужен\не может\не хочет
36402;не_нуждаются кредитовании;не нужен\не может\не хочет
36403;переговоры проведены клиент кредитных ресурсах не_нуждается клиент принципе не_пользуется кредитными продуктами презентация кредитных продуктов проведена;отказ
36404;подробной консультации;др банк
36405;не_отработана сроки;не нужен\не может\не хочет
36406;меньшенина;не нужен\не может\не хочет
36407;не_резидент;не нужен\не может\не хочет
36408;потребность кредите суммой сроками не_определилась назначена встреча банке;встреча
36409;данное планирует закрыть обороты переведет авата дамиру сейчас дособирают долги закроют счет;не нужен\не может\не хочет
36410;не_отработана сроки;не нужен\не может\не хочет
36411;назначена встреча офисе пока потребности особой нет_интересно уточнить условия;встреча
36412;кредитование не_интересно;отказ
36413;группа компаний сеть аптек алвик не_кредитуются;группа компаний
36414;встреча подача заявки кредит доверие;встреча
36415;потребность кредитовании назначена встреча;встреча
36416;потребности кредитовании данное время нет;не нужен\не может\не хочет
36417;не_отработана сроки;не нужен\не может\не хочет
36418;клиент категорически отказывается;отказ категорический
36419;клиент подходил банк внесения изменений юридическое дело проинформировала кредитовании малого бизнеча сбрф не_интересно;др банк
36420;боле подробного обсуждения деталей клиент приглашен банк;приглашение в банк
36421;не_отработана сроки;не нужен\не может\не хочет
36422;сббол взяла трубку супруга анна ведет бухгалтерию сдача ареду собственной коммерческой недвижимости дела сейчас плохо идут кредитование не_актуально;мусор
36423;переговоры ольгой потребности кредитовании нет_обходятся собственными средствами клиент не_использует кредитные средства бизнесе;не нужен\не может\не хочет
36424;потребность клиента не_выявлена расширение бизнеса поекупка нового не_планируется встречи отказался;не нужен\не может\не хочет
36425;клиент активно работает установленным терминала сообщил готов использовать корп карту бизнеса проговорили покупке техники лизинг сообщил выходит лизинг проговорили возможности расчтена услвоий покупке пока потребности нет_иметь ввиду клиента контаткные данные;не нужен\не может\не хочет
36426;глеб игоревич разговор бухгалтером поводу крелитования вопросы лучше обсуждать диром позвонить после праздников;звонок
36427;отказ встречи не_заинтересован кредитовании всего достаточно андрей александрович;отказ
36428;отказ нет_потребности;отказ
36429;пока нет_потребности;пока
36430;телефон не_отвечает телефон не_отвечает;нет контактов
36431;абонент не_доступен;не разговаривают
36432;клиенту интересно кредитование;не нужен\не может\не хочет
36433;клиент не_нуждается данный моментв лизинге кредитовании;др продукт сб
36434;телефон не_доступен;нет контактов
36435;клиенту интересно предложение попросил перезвонить;звонок
36436;нет_потребности кредитовании;не нужен\не может\не хочет
36437;отсутствует потребность кредитовании;не нужен\не может\не хочет
36438;переговорила директором кредитованию интересны беззалог кредиты предложен овердрафт тендерах не_участвуют расчет лимита овердрафта;не нужен\не может\не хочет
36439;подумает смене_авто;интересует
36440;не_отработана сроки;не нужен\не может\не хочет
36441;кредиты не_берут;есть кредит
36442;пока кредитование не_рассматривает нет_потребности;пока
36443;отказ встречи заемных средствах не_нуждаются;отказ
36444;не_отработана сроки;не нужен\не может\не хочет
36446;кредиты не_берут пользуются всегда своими;не нужен\не может\не хочет
36447;клиент обходится собственными средствами возникновении потребности обратится;не нужен\не может\не хочет
36448;устаривает не_нужно;др банк
36449;клиентом нет_связи короткие гудки;не ответили
36450;нет_надобности;не нужен\не может\не хочет
36451;лизинг не_интересен интересует беззалогове бесцелевое кредитование пока не_можем подать заявку кредит доверие нет_ведения бизнеса ждем срока;не нужен\не может\не хочет
36452;отказ клиента нет_потребности продукте нет_потребности крредитовании клиента;отказ
36453;кредитных средствах не_нуждаются;не нужен\не может\не хочет
36454;отказ клиента;отказ
36455;пока нет_потребности имекть ввиду;пока
36456;перезвонить постоянно занято назначена встреча клиентом светлана михайловна;встреча
36457;торговля ювелирными изделиями;мусор
36458;данный момент потребность финансировании отсутствует транспорт ближайшее время приобретать не_планируют;не нужен\не может\не хочет
36459;;не нужен\не может\не хочет
36460;данный момент потребности нет_нет_заказов работ ремонту кред;не нужен\не может\не хочет
36461;нет_потребности кредитовании лизинге;др продукт сб
36462;не_отработана сроки;не нужен\не может\не хочет
36463;клиент пояснил данный момент нет_потребности кредитовании необходимости обратится своему менеджеру;не нужен\не может\не хочет
36464;данный момент отказ заинтереовался покупкой автотрансортного средства программке кредитования республики беларусь обещал подумать взвесить дать ответ;интересует
36465;нет_потребности кредитовании не_планируют приобретение транспорта;не нужен\не может\не хочет
36466;клиент старается обходиться своими средствами процентые ставки очень большие;дорогие тарифы
36467;клиентом не_планируется расширение бизнеса кредитование не_актуально;небольшие обороты
36468;конечный бенефициар бизнеса шпаков никита анатольевич учредитель принимает решения дирктор казанцева ирина геннадьевна деятельности предоставление услуг обслуживанию спец техники пожавто шпатин шпаков основной заказчик пожавто руководитель собственник шпаков никита анатольевич офис арендуют одного учредителей шпакова анатолия георгиевича отец никиты анатольевича кредите нет_необходимости трудоустроены сотрудников;мусор
36469;свои средства;не нужен\не может\не хочет
36470;не_интересует;не нужен\не может\не хочет
36471;отказ нет_потребности;отказ
36472;считается овер;не нужен\не может\не хочет
36473;;не нужен\не может\не хочет
36474;встреча клиентом;встреча
36475;потр кредитов отсутств ранее велись перегов клиентом заинт большая;не нужен\не может\не хочет
36476;клиент находиться рейсе возращению придет банк получением расширенной консультации;отказ
36477;проведены переговоры презентован продукт назначена встреча обсуждения вопросов сотрудничества сбербанком;встреча
36478;отказ клиент закрывает организацию подал докумен закрытие ликвидацию;не ведет деятельность
36479;клиент не_соответствует параметрам банка;отказ
36480;согласие клиента разговаривала руководителем потребность обсудим после праздников перезвонить;клиент согласен на
36481;переговоры андреем алексеевичем деятельность грузоперевозки предложения кредитованию отказался не_устраивают процентные ставки считает слишком высокими;дорогие тарифы
36482;клиент не_планирует кредитоваться работает собственными средствами отказ;отказ
36483;клиент кредитуется;отказ
36484;остапович оптовая торговля пром товарами кредитование не_актуально;оптовая торговля
36485;отказ нет_потребности;отказ
36486;нет_потребности;не нужен\не может\не хочет
36487;счету картотека момент бизнес компании не_ведется ждут рассчеты контрагентами;проблемы
36488;отказ нет_потребности;отказ
36489;перег провед направл пред будут иметь виду;интересует
36490;перег провед отказ кредитов лизинга;отказ
36491;отказ не_устр параметры;отказ
36492;выявлена заинтересованность клиента оставила контактные данные договорились встрече подойдут сразу супругом;звонок
36493;перег провед;др банк
36494;потребности кредитовании нет_достаточно собственных средств деятельности;не ведет деятельность
36495;клиент приглашен отделение консультацию;приглашение в банк
36496;не_отработана сроки;не нужен\не может\не хочет
36497;заинтересованы приедет встречу после майских праздников;встреча
36498;клиент покане_планирует брать деньги банке;надежда есть
36499;директором учредителем проблемник черная зона не_удовлетворяет требованиям банка;черная зона
36500;отказ не_планируют преобретать транспорт компанию вообщем кредитование не_интересно;отказ
36501;интересно кредитование бывает банке лицо зайдет пообщаться;не ведет деятельность
36502;наст время необходимости кредитовании нет_случае проконсультируются;не нужен\не может\не хочет
36503;встреча;встреча
36504;крежитовании потребности сецчас нет_заключен договор рамках выполнения составлен договор новик года планируется заключение нескольких приложений договору;отказ
36505;клиент кредитуется банке санкт петербург договорились заключение;отказ
36506;услуг каких не_головное отделение не_новосибирске;не нужен\не может\не хочет
36507;нет_потребности;не нужен\не может\не хочет
36508;нет_потребности направлено коммерческое предложение лизхингу оставлены контакты связи;не отработана. перенесена
36509;назначена встреча начало активность закпланирована;встреча
36510;вернуться этому вопросу летом;др банк
36511;клиент предоставляет услуги электричеству заказов мало финансовое состояние нестабильное;не соответсвует требованиям
36512;клиент строится пока счет собственных средств не_хватать обратся покупки не_предвидится уходят строительство;отказ
36513;не_лоялен банку;не лоялен 
36514;откз киенту предложен продукт лизинг потребности нет_клиент бизнеса приобритает автомобили потребности кредитных средствах нет_отправлено предложение оставлены контакты;не нужен\не может\не хочет
36515;пока нет_потребности покупке;пока
36516;компания закрытию;не ведет деятельность
36517;деятельность активно ведется контракты работы встрече не_видят необходимости;не ведет деятельность
36518;не_отработана сроки;не нужен\не может\не хочет
36519;сегодня не_работе девушка которая взяла трубку сказала передаст контакты не_возможно дозвониться секретарь не_соединяет;не разговаривают
36520;кредит не_нужен;есть кредит
36521;клиентом назначена встреча кредитованию лизингу;встреча
36522;отсутствует потребность кредитовании;не нужен\не может\не хочет
36523;выслано коммерческое предложение;не отработана. перенесена
36524;отсутствует потребность кредитовании;не нужен\не может\не хочет
36525;проведены переговоры руководителем предприятяи фирма продает свои активы заправочные станции переоформляется заключать договор кредит не_будут планируют полностью сократить деятельность закрыть услуга неактуальна;не ведет деятельность
36526;нет_контактых данных телефон указан единственный;нет контактов
36527;клиента лизинг направлено предложение появится потребность обязательно обратятся;не нужен\не может\не хочет
36528;клиент приглашен встречу;встреча
36529;клиент не_планирует привлечение кредитных средств чаще размещают депозиты;не нужен\не может\не хочет
36530;убыточная деятельность;не ведет деятельность
36531;не_отработана сроки;не нужен\не может\не хочет
36532;организация не_использует кредитные средства своей работе;не ведет деятельность
36533;клиент отказался не_устраивает ставка;отказ
36534;отказ потребности кредитовании нет_необходимости сама обратится ближайшие месяцы не_беспокить юлия;обратится сам
36535;сотрудники получают карты хотелось приобрести кредит контракты учредители нерезиденты залог нет;не нужен\не может\не хочет
36536;отказ кредитование не_интересует;отказ
36537;алексей витальевич директор не_работает данной организации контактов не_знает ирина викторовна главный бухгалтер сказала не_интересует кредит лизинг контактных данных директора нет_бухгалтер не_дала сказала информацию передать;нет контактов
36538;направлено предложение сбболу;не отработана. перенесена
36539;отказ данный момент кредитовании потребности нет;не нужен\не может\не хочет
36540;не_устраивает ставка кредитованию;отказ
36541;клиент готов рассмотреть предложения кредитованию направлено предложение почту;не отработана. перенесена
36542;директор не_готов разговаривать тему кредитования сдачи годовой отчетности запланирован звонок;не разговаривают
36543;не_нуждается лизинговых продуктах;не нужен\не может\не хочет
36544;требуется время принятия решения;не нужен\не может\не хочет
36545;кредит не_нужен клиент снимает деньги проконсультирован тему снятия рамках оставил контактные данные часто приходит офис придет зайдет;нет контактов
36546;отказ клиент кредитоваться не_планирует интересна корп карта подойдет выпуска;отказ
36547;собир закрывать;не ведет деятельность
36548;отказ необходимости заемных нет_планов приобр транспорта нет;отказ
36549;переговоры валентина константиновна отказ кредитов лизинга покупают собственные средства;не нужен\не может\не хочет
36550;переговоры проведены клиента нет_потребности кредитовании;переговоры
36551;переговоры проведены презентация кредитных продуктов осуществлена наданный момент клиент не_нуждается кредитовании возможно будущем интересно;отказ
36552;переговоры еленой евгеньевной кредитование не_интересует лизинга отказ не_планируют приобретений;отказ
36553;не_отработана сроки;не нужен\не может\не хочет
36554;клиента кредит остаток готов рассмотреть кредит залога;отказ
36555;переговоры проведены клиент кредитных продуктах не_нуждается обходится собсвенными средствами ходит группу компаний;не нужен\не может\не хочет
36556;клиента наше коммерческое предложение пока нет_потребности продукте;не отработана. перенесена
36557;назначен звонок;звонок
36558;бехгалтер ирина анатольевна нет_потребности отказ поннадобится свяжутся контактыне_данные бухгалтера;отказ
36559;кредитование не_актуально потребности продуктах нет_выслана информация эквайрингу;не нужен\не может\не хочет
36560;направлено предложение;не отработана. перенесена
36561;кредитования клиент отказывается размещает депозиты банке годовых;не нужен\не может\не хочет
36562;кредитование банковские гарантии не_интересны данный момент;пока
36563;предприятия сейчас мало заказов деятельность замедлилась активностей отношении банка не_планируют пока;не ведет деятельность
36564;потребности кредитовании нет;не нужен\не может\не хочет
36565;назначена встреча предварительному звонку после;встреча
36566;не_нуждаются кредитовании;не нужен\не может\не хочет
36567;нет_потр;не нужен\не может\не хочет
36568;отказ сотрудничества причине_покупок машин;отказ
36569;проведен звонок ольге анатольевне_вопросу кредитования текущий момент нет_потребности деятельности торговля словам пытается обходится собственными средствами;не ведет деятельность
36570;работе;не ответили
36571;отказ клиента нет_потребности продукте директор сказал сейчас тяжелый времена кредит лизинг не_интересен;не нужен\не может\не хочет
36572;нет_потребности кредитовании;не нужен\не может\не хочет
36573;кречетова татьяна евгеньевна указан контакт везде проверяла сббол не_отвечает;нет контактов
36574;клиент готов обсудить кредитование чехове;отказ
36575;закрыто запросу упмб;не ведет деятельность
36576;назначена встреча;встреча
36577;клиент отпуске позвонить обсудить вопросы кредитования;звонок
36578;проведены переговоры игорем ждут финансирование строительству тарелка декабре должно открытие состоялись торги проиграли перспективе строительство собственного офиса планируют счет собственных средств назначена встреча;встреча
36579;направлено предложение клиент думать;не отработана. перенесена
36580;не_отработана сроки;не нужен\не может\не хочет
36581;кредитовании нет_нужды предложение приняли сведению;не отработана. перенесена
36582;нет_пока потребности кредитовании;не нужен\не может\не хочет
36583;конт лицо волобуева екатерина сергеевна бухгалтер конт;нет контактов
36584;направлено письмо моими контактами деятельности микрофинансовая организация не_кредитуем предложен зарпалтный проект размещение средств;не ведет деятельность
36585;отказ нет_потребности;отказ
36586;собирается делать ремонт помещении которое залоге отправил справку кредитный отдел нужно согласовать попросил проконтролировать данный вопрос ремонт делать счет собственных средств новые кредиты не_интересуют оборотных средств хватает приобретение автомобиля пока не_планиурет;не нужен\не может\не хочет
36587;нет_потребности;не нужен\не может\не хочет
36588;не_нуждаются кредитовании;не нужен\не может\не хочет
36589;лариса компания занимается оптовой торговлей кожей кредитование интересно обещали обратятся возникнет_потребность не_работают снимают чеку предложил заключить договор обещали подумать оставлен контакт направил;не ведет деятельность
36590;данный момент не_интересно;пока
36591;отказ нет_необходимости;отказ
36592;кредитование не_актуально;отказ
36593;не_отработана сроки;не нужен\не может\не хочет
36594;отказ нет_необходимости;отказ
36595;нет_потребности продукте;не нужен\не может\не хочет
36596;пока нет_потребности;пока
36597;кредитование не_интересно;отказ
36598;нет_потребности ораганизация работает территории ленинградского вокзала управляет имуществом;не нужен\не может\не хочет
36599;текущий момент не_нуждаетсяч действующийх кредита догвоорились созвониться обсудить условия;отказ
36600;отказ не_кредит;отказ
36601;отказ нет_потребности;отказ
36602;счет закрыт;счет закрыт
36603;смена руководства;реорганизация
36604;ваграм эльбрусович клиента сложности бизнесе деятельность приостановлена кредитование други продукты клиента сегоднейшний день не_актуальны;не ведет деятельность
36605;договорились бухгалтером встрече перед этой датой делаю контрольный звонок клиенту целью назначения точноц даты аремени встречи идет отчетности;звонок
36606;направлено коммерческое предложение оставлены контактные данные клиент сказал нужно перезвонит;не отработана. перенесена
36607;состоялись переговоры мелиным андреем петровичем ходе которыз клиенту предложено воспользоваться кредитными продуктами сбербанка клиент не_стал выслушивать сказав кредиты не_нужны;отказ
36608;направлено предложение;не отработана. перенесена
36609;счет банке закрыт кредитованию плохая;счет закрыт
36610;не_берет трубку;не разговаривают
36611;шебзухова контакт передан отработку;нет контактов
36612;направлено предложение сбболу;не отработана. перенесена
36613;нет_потребности кредитовании;не нужен\не может\не хочет
36614;направление кредитования клиента не_интересует;отказ
36615;переведен другую должность;др банк
36616;светлана валерьевна не_выдит необходимости иметь виду;мусор
36617;оквэд запрещенный клиент не_ведет бизнес аданной организации;не ведет деятельность
36618;нет_потребности кредитовании отсальных продуктах целом;не нужен\не может\не хочет
36619;нет_потребности кредитных средствах;не нужен\не может\не хочет
36620;клиента пока не_интересует кредит просил связаться месяца;звонок
36621;кредитование сейчас не_нужно;не нужен\не может\не хочет
36622;потребности кредитовании нет_занимаются продажей оптовой цемента рассказано возможность оборотного кредитвоани также лизинг пока словам директора потребности нет_договорились направлю информацию почту возможности дальнейшей работы перспективу торгах не_участвуют;не нужен\не может\не хочет
36623;отказ высокая кредитная нагрузка петров;не соответсвует требованиям
36624;нет_потребности;не нужен\не может\не хочет
36625;кредит не_интересует клиента ипотека;др продукт сб
36626;клиент размещает денежные средства;не нужен\не может\не хочет
36627;клиент кредитоваться не_планирует потребности нет;не нужен\не может\не хочет
36628;не_отработана сроки;не нужен\не может\не хочет
36629;разговаривала оксаной александровной кредитование лизинг не_требуется;не разговаривают
36630;директора нет_возможности дозвониться отправлено предложение почту;не отработана. перенесена
36631;постоянные запросы мониторинга не_хотят кредитоваться нет_необходимости размещают деньги наши депозиты;не нужен\не может\не хочет
36632;нет_необходимости кредитовании клиент обходится собственными средствами;не нужен\не может\не хочет
36633;кредит наст время не_интересует лизинг пользуются лизингом давно сотрудничают машина лизинг;др продукт сб
36634;консультация оставила номер телефона клиент подает постоянно заявки не_устраивает срок рассмотрения список документов;документы
36635;готов встретиться попросил позвонить первой половине_соорентирует времени дате встречи;отказ
36636;назначена повторная встреча сбору пакета документов;встреча
36637;номер занят постоянно карточке образцами подписей совпадает;занято
36638;клиент собирает пакет документов оборот;документы
36639;направлено предложение;не отработана. перенесена
36640;клиент не_нуждвется кредитных средствах;отказ
36641;клиента имеется кредит сбербанке настоящий момент просрочка платежам;есть кредит
36642;клиент занимается розничной торговлей детскими товарами ранее кредитвались сейчас кризиса кредитование не_интересно летом планирует приобритение автомобиля думает лицо взять предложен лизинг расказала условия повторный звонок летом;интересует
